station,depth,temperature,salinity,sand,silt,lon,lat,sediment_class,salinity_class,depth_class,community,shannon,pielou,number_of_species,h3
52,-10.0,11.862,0.037376,35.6,64.19999999999999,73.51445,71.17088333333334,Silt,<5,8_15,Marenzellaria-Pontoporeia,0.6911840712605135,0.10673448476976075,4,850b4cd3fffffff
53,-20.0,9.9068,2.9522,34.1,65.7,73.33328333333333,71.14828333333334,Silt,<5,15_20,Marenzellaria-Pontoporeia,0.5384935344678745,0.08315560549371057,5,850b6a6bfffffff
54,-19.2,4.6364,17.801,31.6,68.39999999999999,73.12195,71.13165,Silt,5-16,15_20,Marenzellaria-Pontoporeia,0.06005741446135532,0.009274225862072388,3,850b6a6bfffffff
55,-15.0,9.9726,0.068652,15.1,84.9,72.93485,71.10456666666667,Silt,<5,8_15,Marenzellaria-Pontoporeia,1.1534057691465063,0.17811199016176602,4,850b6a7bfffffff
56,-9.0,11.455,0.10015,1.3,98.7,72.74466666666666,71.07913333333333,Silt,<5,8_15,Marenzellaria-Pontoporeia,0.9839877904940979,0.15195001477187947,4,850b6a7bfffffff
57,-9.0,11.292,0.095251,89.0,11.0,72.94605,70.82136666666666,Sand,<5,8_15,Marenzellaria-Pontoporeia,0.7451540200047051,0.11506866796607824,4,850b6a4ffffffff
58,-10.0,10.366,0.076836,90.0,10.0,73.20345,70.81496666666666,Sand,<5,8_15,Marenzellaria-Pontoporeia,0.7816532891445289,0.12070498229694422,2,850b41b3fffffff
59,-17.0,11.217,0.052244,90.3,9.7,73.46235,70.8156,Sand,<5,15_20,Marenzellaria-Pontoporeia,1.3230675163013794,0.2043116089329102,4,850b41b3fffffff
60,-20.0,10.09,4.3979,90.7,9.3,73.7175,70.81646666666667,Sand,<5,15_20,Marenzellaria-Pontoporeia,1.2289703139565487,0.18978086838468655,6,850b41a3fffffff
61,-15.0,4.5065,16.103,33.9,66.1,72.28165,71.30116666666666,Silt,5-16,8_15,Marenzellaria-Pontoporeia,1.4865932884196957,0.22956369410002814,3,850b6a77fffffff
62,-6.7,8.8855,2.6358,28.6,71.39999999999999,72.1693,71.25978333333333,Silt,<5,<8,Marenzellaria-Pontoporeia,1.5703031958099145,0.24249040090206003,5,850b6a0ffffffff
63,-9.0,5.5955,12.695,18.5,81.5,72.2935,71.24971666666667,Silt,5-16,8_15,Marenzellaria-Pontoporeia,1.2722863837318203,0.1964698512214627,5,850b6a77fffffff
64,-14.6,3.8404,18.911,32.0,68.0,72.36635,71.2766,Silt,≈20,8_15,Marenzellaria-Pontoporeia,1.1269762855201033,0.1740306789237185,6,850b6a77fffffff
65,-18.0,3.5633,20.023,31.7,68.3,72.39933333333333,71.28866666666667,Silt,≈20,15_20,Marenzellaria-Pontoporeia,1.2948723049162714,0.19995762931258163,5,850b6a77fffffff
66,-18.0,3.5535,20.266,29.4,70.6,72.39906666666667,71.32125,Silt,≈20,15_20,Marenzellaria-Pontoporeia,1.1840104427497593,0.18283804535373918,4,850b6a77fffffff
67,-17.0,3.8213,20.732,33.8,66.2,72.43995,71.30668333333334,Silt,≈20,15_20,Marenzellaria-Pontoporeia,1.2226501629672044,0.18880489383960694,5,850b6a77fffffff
68,-18.0,3.7082,20.849,29.1,70.69999999999999,72.46853333333334,71.28681666666667,Silt,≈20,15_20,Marenzellaria-Pontoporeia,1.028364166921573,0.15880273298527461,5,850b6a77fffffff
69,-20.0,3.3821,21.754,2.2,97.80000000000001,72.49683333333333,71.2661,Silt,≈20,15_20,Marenzellaria-Pontoporeia,0.9425944611512912,0.14555794663255994,3,850b6a77fffffff
70,-19.5,3.8497,20.872,1.8,98.2,72.537,71.28578333333333,Silt,≈20,15_20,Marenzellaria-Pontoporeia,0.9927550166205488,0.15330387317570549,4,850b6a77fffffff
71,-19.3,3.9706,21.336,35.3,64.5,72.50033333333333,71.33683333333333,Silt,≈20,15_20,Marenzellaria-Pontoporeia,1.2636437430542586,0.19513523163440044,3,850b6a77fffffff
72,-20.0,3.6627,21.641,11.3,88.7,72.42911666666667,71.3542,Silt,≈20,15_20,Marenzellaria-Pontoporeia,1.4697564017850087,0.22696369723261933,4,850b6a2bfffffff
73,-18.0,3.7463,20.943,6.4,93.6,72.34493333333333,71.37853333333334,Silt,≈20,15_20,Marenzellaria-Pontoporeia,2.133276798959451,0.3294262837871469,6,850b6a2bfffffff
74,-16.5,3.5204,20.425,37.7,62.1,72.26085,71.40223333333333,Sand,≈20,15_20,Ampharete+Pontoporeia+Halicryptus,1.7978752060038174,0.2776326766952039,5,850b6a2bfffffff
75,-18.0,3.7904,19.989,22.5,77.3,72.27308333333333,71.35133333333333,Silt,≈20,15_20,Ampharete+Pontoporeia+Halicryptus,1.9192878847981636,0.2963815458524427,7,850b6a3bfffffff
76,-14.0,4.4604,17.035,2.8,97.2,72.20018333333333,71.32363333333333,Silt,5-16,8_15,Marenzellaria-Pontoporeia,1.3739719920079594,0.21217241362001468,5,850b6a3bfffffff
77,-7.0,10.447,1.0038,8.5,91.19999999999999,72.0763,71.3212,Clay,<5,<8,Marenzellaria-Pontoporeia,1.091715278014075,0.1685855802515877,5,850b6a3bfffffff
78,-7.5,10.762,0.77039,3.9,96.1,72.11715,71.29981666666667,Silt,<5,<8,Marenzellaria-Pontoporeia,1.0995432903447018,0.169794402760123,4,850b6a3bfffffff
79,-11.0,7.9989,6.0009,43.5,56.300000000000004,72.1158,71.34803333333333,Sand,5-16,8_15,Marenzellaria-Pontoporeia,1.8796753603489638,0.2902644743467232,7,850b6a3bfffffff
80,-15.0,4.2098,18.052,1.1,98.9,72.19026666666667,71.37461666666667,Silt,≈20,8_15,Ampharete+Pontoporeia+Halicryptus,2.0294222266289474,0.31338878418380006,7,850b6a3bfffffff
81,-12.0,4.1298,21.376,1.3,98.7,73.30256666666666,72.15036666666667,Silt,≈20,8_15,Ampharete+Pontoporeia+Halicryptus,1.5030517432423347,0.2321052525193318,8,850b6b6bfffffff
82,-11.0,7.7977,14.239,1.0,99.0,73.81615,72.14595,Silt,5-16,8_15,Ampharete+Pontoporeia+Halicryptus,2.409376207042325,0.37206228958111465,10,850b4ca7fffffff
83,-11.0,8.1045,15.136,1.5,98.5,73.93128333333334,72.11635,Silt,5-16,8_15,Marenzellaria-Pontoporeia,1.7278014612926318,0.2668117024444574,8,850b4ca7fffffff
84,-12.0,3.7055,26.563,1.4,98.6,74.10971666666667,72.19628333333333,Silt,>25,8_15,Portlandia+Marenzellaria,0.7689260743338744,0.11873961189584123,7,850b4ddbfffffff
85,-11.0,4.0591,25.265,1.2,98.8,73.91878333333334,72.19418333333333,Silt,>25,8_15,Portlandia+Marenzellaria,1.5986733460633755,0.24687139504826708,8,850b4ddbfffffff
86,-13.5,4.7307,20.739,1.7,98.30000000000001,73.10565,72.19606666666667,Silt,≈20,8_15,Ampharete+Pontoporeia+Halicryptus,1.4000607605699833,0.2162011107305643,9,850b6b6bfffffff
87,-12.0,4.3896,21.733,1.1,98.9,73.31278333333333,72.2828,Silt,≈20,8_15,Ampharete+Pontoporeia+Halicryptus,1.7398372568643217,0.2686703020455676,8,850b6b6ffffffff
88,-12.0,3.1588,24.329,1.1,98.9,73.4156,72.25961666666667,Silt,≈20,8_15,Ampharete+Pontoporeia+Halicryptus,2.1753562617929694,0.33592430648713917,9,850b6b6bfffffff
89,-12.0,6.1998,19.021,1.0,99.0,73.53653333333334,72.36938333333333,Clay,≈20,8_15,Ampharete+Pontoporeia+Halicryptus,1.928343452554469,0.29777993073854725,7,850b4dd7fffffff
90,-12.0,6.2019,21.225,1.2,98.8,73.78033333333333,72.45865,Silt,≈20,8_15,Portlandia+Marenzellaria,2.5700862852807993,0.3968795678016746,12,850b4dd7fffffff
91,-12.0,5.173,21.341,1.2,98.8,73.86093333333334,72.43425,Silt,≈20,8_15,Portlandia+Marenzellaria,1.9719948618419854,0.3045206975957467,8,850b4dd7fffffff
92,-12.0,4.7665,22.582,1.3,98.7,73.96831666666667,72.40988333333334,Silt,≈20,8_15,Portlandia+Marenzellaria,1.2323567411518677,0.19030380948956982,5,850b4dd7fffffff
93,-16.0,2.6182,25.844,12.1,86.9,74.18278333333333,72.49636666666666,Clay,>25,15_20,Portlandia+Marenzellaria,0.25401392293134717,0.0392255063676146,9,850b4dc7fffffff
94,-15.7,1.83,26.671,1.3,98.7,74.30231666666667,72.52013333333333,Silt,>25,15_20,Portlandia+Marenzellaria,0.3712422628617441,0.0573282187754202,14,850b4dc7fffffff
95,-12.5,0.50313,28.497,2.2,97.80000000000001,74.38958333333333,72.55446666666667,Silt,>25,8_15,Pectinaria+Portlandia,0.28271071086198796,0.043656940773702906,10,850b4d1bfffffff
96,-15.0,0.88481,27.914,0.8,99.19999999999999,74.32608333333333,72.55823333333333,Silt,>25,8_15,Portlandia+Marenzellaria,1.6694904792694776,0.2578071653298943,5,850b4d1bfffffff
97,-17.0,0.82253,28.051,1.0,99.0,74.34375,72.57871666666666,Clay,>25,15_20,Pectinaria+Portlandia,0.41216984888399594,0.06364836559099782,12,850b4d1bfffffff
98,-17.0,1.6987,26.868,1.5,98.5,74.21345,72.55843333333334,Silt,>25,15_20,Portlandia+Marenzellaria,1.9677786899486434,0.3038696251051496,9,850b4dc7fffffff
99,-15.5,4.6101,23.462,1.5,98.5,74.9887,72.54196666666667,Silt,≈20,15_20,Portlandia+Marenzellaria,0.7746733425053853,0.11962712035071801,7,850b4d57fffffff
100,-12.0,3.0995,24.441,1.5,98.5,73.54153333333333,72.24306666666666,Silt,≈20,8_15,Ampharete+Pontoporeia+Halicryptus,1.5773795564218256,0.24358315135069225,8,850b4dd3fffffff
k-1,-9.11219112812948,9.32200808122785,2.79067870372875,26.5,73.5,72.1275148463,71.3108777487,Silt,<5,8_15,Marenzellaria-Pontoporeia,1.4635187430316594,0.22600046135828247,3,850b6a3bfffffff
k-2,-11.03106456306,6.41921499966911,9.16447953730967,90.5,9.5,72.2551119369,71.2612388609,Sand,5-16,8_15,Marenzellaria-Pontoporeia,1.9276008521582706,0.29766525640796915,6,850b6a77fffffff
k-3,-12.9857756286487,5.58941110819032,12.2379233441312,90.7,9.3,72.3481908623,71.2332410043,Sand,5-16,8_15,Marenzellaria-Pontoporeia,0.8665585066740882,0.13381627207356625,3,850b6a77fffffff
k-4,-17.5431490932175,3.7904498065474,19.989495901981,66.1,33.9,72.2712937342,71.3518397168,Sand,≈20,15_20,Marenzellaria-Pontoporeia,2.082661865460581,0.32161019097875027,6,850b6a3bfffffff
k-5,-18.2136717074326,3.64387600442186,19.985839605008,24.7,75.3,72.402182538,71.3040433981,Silt,≈20,15_20,Marenzellaria-Pontoporeia,0.2867117898053974,0.04427479803822165,5,850b6a77fffffff
k-6,-18.7298931823571,3.70815163071427,20.8490383384838,88.8,11.200000000000001,72.485021949,71.2849076893,Sand,≈20,15_20,Marenzellaria-Pontoporeia,0.16920482842999252,0.026129060164964427,3,850b6a77fffffff
k-7,-20.0093200199941,4.65290546417236,20.3257069828023,25.2,74.80000000000001,72.6217404903,71.3340229969,Silt,≈20,15_20,Marenzellaria-Pontoporeia,1.096822243716106,0.16937421149412926,4,850b6a77fffffff
k-8,-19.7882244679026,4.56151050407687,20.2032863441819,89.7,10.3,72.6667528544,71.2985410476,Sand,≈20,15_20,Marenzellaria-Pontoporeia,0.5387903967416662,0.08320144775651467,4,850b6a77fffffff
k-9,-20.340295267042,3.64180784574934,21.3908599184145,90.7,9.3,72.7325678532,71.2434687852,Sand,≈20,15_20,Marenzellaria-Pontoporeia,1.1791207199948974,0.18208296134557425,3,850b6a63fffffff
k-10,-14.9971538528248,10.496541486099,0.308907321314706,29.6,70.3,72.7988028436,71.30832535,Silt,<5,8_15,Marenzellaria-Pontoporeia,0.8930101850045391,0.1379010106769129,2,850b6a67fffffff
k-11,-13.6183700380009,4.73072910308838,20.739226377013,61.0,38.8,73.1255098327,72.1972477575,Sand,≈20,8_15,Portlandia+Marenzellaria,1.8699713678642014,0.2887659579874242,11,850b6b6bfffffff
k-12,-12.2099090102165,4.12978211332093,21.3761607033493,20.4,79.6,73.308940751,72.1482340351,Silt,≈20,8_15,Ampharete+Pontoporeia+Halicryptus,1.4500538181930196,0.22392117181028293,5,850b6b6bfffffff
k-13,-12.1153947570505,1.76538614940057,25.369286391948,18.9,81.1,73.4112130811,72.313732408,Silt,>25,8_15,Ampharete+Pontoporeia+Halicryptus,1.8191093911005909,0.28091171610025933,7,850b6b6ffffffff
k-14,-11.4289028430287,3.09645916339436,24.3849513737832,16.8,83.2,73.6041819318,72.264773561,Silt,≈20,8_15,Marenzellaria-Pontoporeia,0.9537059053719081,0.14727380543667362,5,850b4dd3fffffff
k-15,-10.9526266391385,6.15293373176164,19.4958078443988,8.8,91.19999999999999,73.6055046177,72.3855899328,Silt,≈20,8_15,Ampharete+Pontoporeia+Halicryptus,2.223084425501436,0.34329461661760785,10,850b4dd7fffffff
k-16,-15.3949688439741,4.61013698577881,23.4615334992576,6.1,93.9,73.8028066119,72.3329453711,Silt,≈20,15_20,Ampharete+Pontoporeia+Halicryptus,1.4472662816315238,0.2234907129918013,5,850b4dd3fffffff
k-17,-11.6116628386883,6.20194077675188,21.2247093631975,1.0,99.0,73.8029620441,72.4608314963,Silt,≈20,8_15,Ampharete+Pontoporeia+Halicryptus,1.053656955072897,0.1627085126812664,5,850b4dd7fffffff
k-18,-12.1108784224344,4.76654005050659,22.5822439209087,0.9,99.1,73.9748111754,72.4112484594,Silt,≈20,8_15,Portlandia+Marenzellaria,0.791760990529711,0.12226584045964252,4,850b4dd7fffffff
k-19,-15.3949688439741,4.61013698577881,23.4615334992576,1.3,98.7,73.9935356074,72.5316360922,Silt,≈20,15_20,Portlandia+Marenzellaria,0.47697392557002705,0.07365558367322209,5,850b4dc7fffffff
k-20,-16.9339964985473,2.61817407608032,25.8440784187056,1.1,98.9,74.175159608,72.4831613983,Silt,>25,15_20,Portlandia+Marenzellaria,1.222570658681878,0.18879261657616275,6,850b4dc7fffffff
k-21,-17.1133422864413,1.69869621695969,26.8681726783218,1.7,98.30000000000001,74.189513979,72.5629822803,Silt,>25,15_20,Portlandia+Marenzellaria,0.5690116577700067,0.08786829535771842,7,850b4dc7fffffff
k-22,-15.5775146896218,1.82999862037165,26.6708454614223,1.0,99.0,74.2962361587,72.5071666188,Silt,>25,15_20,Portlandia+Marenzellaria,0.4240121755179773,0.06547708920357774,6,850b4dc7fffffff
k-23,-15.4993193823169,0.347874824547936,28.8267072486883,1.4,98.6,74.3723175483,72.6098020054,Silt,>25,15_20,Pectinaria+Portlandia,0.12057138315369248,0.018618954044206104,6,850b4d13fffffff
k-24,-11.2736418015883,1.840172290802,25.6182977892585,6.1,93.9,74.5079475373,72.5606435545,Silt,>25,8_15,Portlandia+Marenzellaria,0.6751406112716951,0.10425701095774435,7,850b4d1bfffffff
k-25,-15.182827120068,0.884808796270188,27.91380310434,20.6,79.4,74.3367876376,72.5619636736,Silt,>25,15_20,Portlandia+Marenzellaria,1.2903779161311248,0.19926359382871586,7,850b4d1bfffffff
k-26,-10.6900938937581,5.78382046479323,25.267100119076748,18.1,81.9,73.929317679,72.1583592251,Silt,<5,8_15,Ampharete+Pontoporeia+Halicryptus,1.9821023088838943,0.30608151648207943,6,850b4ddbfffffff
k-27,-10.6721532573538,4.05913972854614,25.2645735660777,16.4,83.6,73.9228644772,72.1951377802,Silt,>25,8_15,Portlandia+Marenzellaria,0.9509294880536927,0.14684506368134767,5,850b4ddbfffffff
k-28,-11.7194717212815,3.70554814775616,26.5633321598861,1.4,98.6,74.1105816848,72.1928413226,Silt,>25,8_15,Portlandia+Marenzellaria,0.7631952113227773,0.11785463676951924,4,850b4ddbfffffff
k-29,-10.9094407849199,8.10445084019697,25.4558081428921,5.8,94.19999999999999,73.9422162065,72.1114405391,Silt,5-16,8_15,Portlandia+Marenzellaria,1.2829516665530845,0.19811681259424924,5,850b4ca7fffffff
k-30,-10.6900938937581,5.78382046479323,24.32356,8.2,91.8,73.8230440354,72.1380038187,Silt,<5,8_15,Portlandia+Marenzellaria,2.339803141095153,0.36131863147831517,8,850b4ca7fffffff
