group;taxon;species;biom_sum_mg;count
Other;Nematoda;Nematoda;1,333333333;1
Other;Nemertea;Nemertea gen.sp.;1045,666667;1
Echinodermata;Ophiuroidea;Gorgonocephalus arcticus;942,6666667;1
Echinodermata;Ophiuroidea;Ophiacantha bidentata;1458;1
Echinodermata;Ophiuroidea;Ophiocten sericeum;3493,666667;1
Echinodermata;Ophiuroidea;Ophiopleura borealis;2137;1
Echinodermata;Ophiuroidea;Ophiopus arcticus;113,6666667;1
Echinodermata;Ophiuroidea;Ophiura robusta;320;1
Echinodermata;Ophiuroidea;Ophiura sarsi;495,6666667;1
Echinodermata;Ophiuroidea;Ophiuroidea gen.sp. juv.;27,66666667;1
Echinodermata;Ophiuroidea;Stegophiura nodosa;11,33333333;1
Other;Pantopoda;Nymphon sp.;44;1
Other;Pantopoda;Pantopoda gen. sp.;0,333333333;1
Other;Pantopoda;Pantopoda gen.sp.;2,333333333;1
Polychaeta;Polychaeta;Aglaophamus malmgreni;1894,333333;1
Polychaeta;Polychaeta;Aglaophamus rubellus (?);18,66666667;1
Polychaeta;Polychaeta;Ampharete finnmarchica;167,6666667;1
Polychaeta;Polychaeta;Ampharete sp.;205,6666667;1
Polychaeta;Polychaeta;Ampharetidae gen. sp.;4,666666667;1
Polychaeta;Polychaeta;Amphicteis gunneri;5,333333333;1
Polychaeta;Polychaeta;Amphicteis ninonae;106;1
Polychaeta;Polychaeta;Antinoella finnmarchica;0,333333333;1
Polychaeta;Polychaeta;Apistobranchus tullbergi;2,333333333;1
Polychaeta;Polychaeta;Aricidea nolani;16,33333333;1
Polychaeta;Polychaeta;Aricidea quadrilobata;0,666666667;1
Polychaeta;Polychaeta;Aricidea sp.;4,333333333;1
Polychaeta;Polychaeta;Artacama proboscidea;47,33333333;1
Polychaeta;Polychaeta;Axiothella cathenata;50,66666667;1
Polychaeta;Polychaeta;Brada inhabilis;122;1
Polychaeta;Polychaeta;Brada sp.;0,666666667;1
Polychaeta;Polychaeta;Brada vilosa;48;1
Polychaeta;Polychaeta;Branchiomma arcticum;321,3333333;1
Polychaeta;Polychaeta;Bylgides annenkovae;1;1
Polychaeta;Polychaeta;Bylgides sp.;1,333333333;1
Polychaeta;Polychaeta;Capitella capitata;18;1
Polychaeta;Polychaeta;Capitellidae gen. sp.;0,666666667;1
Polychaeta;Polychaeta;Chaetozone setoza;531,3333333;1
Polychaeta;Polychaeta;Chone infundibuliformes;105;1
Polychaeta;Polychaeta;Cirratulidae gen.sp.;19,33333333;1
Polychaeta;Polychaeta;Clymenura polaris;2;1
Polychaeta;Polychaeta;Cossura longocirrata;1;1
Polychaeta;Polychaeta;Cossura pygodactilata;17,33333333;1
Polychaeta;Polychaeta;Diplocirrus longicetosus;2,666666667;1
Polychaeta;Polychaeta;Diplocirrus sp.;11,66666667;1
Polychaeta;Polychaeta;Dorvilleidae g. sp.;3,666666667;1
Polychaeta;Polychaeta;Eteone barbata;2;1
Polychaeta;Polychaeta;Eteone flava;103,6666667;1
Polychaeta;Polychaeta;Eteone longa;5,666666667;1
Polychaeta;Polychaeta;Eteone sp.;6,666666667;1
Polychaeta;Polychaeta;Euchone analis;2,333333333;1
Polychaeta;Polychaeta;Euchone papillosa;54,66666667;1
Polychaeta;Polychaeta;Euchone sp.;3,333333333;1
Polychaeta;Polychaeta;Eunoe nodosa;84,33333333;1
Polychaeta;Polychaeta;Eunoe sp.;266;1
Polychaeta;Polychaeta;Exogone sp.;0,666666667;1
Polychaeta;Polychaeta;Galathowenia oculata;200,6666667;1
Polychaeta;Polychaeta;Gattyana sp.;1,666666667;1
Polychaeta;Polychaeta;Glycera capitata;72,33333333;1
Polychaeta;Polychaeta;Glycera sp.;0,666666667;1
Polychaeta;Polychaeta;Glypanostomum pallescens;17;1
Polychaeta;Polychaeta;Hesionidae gen.sp.;1;1
Polychaeta;Polychaeta;Hirudinea gen. sp.;0,333333333;1
Polychaeta;Polychaeta;Jasmineira schaudinni;15;1
Polychaeta;Polychaeta;Laonice cirrata;1007;1
Polychaeta;Polychaeta;Laphania boecki;11,33333333;1
Polychaeta;Polychaeta;Levinsenia gracilis;2;1
Polychaeta;Polychaeta;Lumbrinereis tetraura;80,33333333;1
Polychaeta;Polychaeta;Lysippe labiata;46;1
Polychaeta;Polychaeta;Lysippe sexticirrata;0,666666667;1
Polychaeta;Polychaeta;Maldane arctica;214;1
Polychaeta;Polychaeta;Maldane sarsi;1229,333333;1
Polychaeta;Polychaeta;Maldanidae gen.sp.;117;1
Polychaeta;Polychaeta;Marenzellaria sp.;8,666666667;1
Polychaeta;Polychaeta;Marenzelleria arctia;2;1
Polychaeta;Polychaeta;Mellinae elisabethae;146,6666667;1
Polychaeta;Polychaeta;Micronephthys minuta;93;1
Polychaeta;Polychaeta;Minuspio cirrifera;47,33333333;1
Polychaeta;Polychaeta;Myriochele heeri;188,3333333;1
Polychaeta;Polychaeta;Nephtidae gen. sp.;39,66666667;1
Polychaeta;Polychaeta;Nephtys caeca;14,33333333;1
Polychaeta;Polychaeta;Nephtys ciliata;181,3333333;1
Polychaeta;Polychaeta;Nephtys pente;81,33333333;1
Polychaeta;Polychaeta;Nephtys sp.;68,66666667;1
Polychaeta;Polychaeta;Nereis gracilis;1;1
Polychaeta;Polychaeta;Nereis sp.;6,666666667;1
Polychaeta;Polychaeta;Nereis zonata;30;1
Polychaeta;Polychaeta;Nicolea sp.;25;1
Polychaeta;Polychaeta;Nicomache lumbricalis;379;1
Polychaeta;Polychaeta;Nicomache sp.;131,6666667;1
Polychaeta;Polychaeta;Nothria hyperborea;1183;1
Polychaeta;Polychaeta;Notomastus latericeus;24,33333333;1
Polychaeta;Polychaeta;Notomastus sp.;2,666666667;1
Polychaeta;Polychaeta;Ophelia limacina;0,666666667;1
Polychaeta;Polychaeta;Ophelia sp.;22;1
Polychaeta;Polychaeta;Ophelina abranchiata;20;1
Polychaeta;Polychaeta;Ophelina acuminata;33,33333333;1
Polychaeta;Polychaeta;Ophelina cylindricauda;32;1
Polychaeta;Polychaeta;Owenia fusiformis;25,66666667;1
Polychaeta;Polychaeta;Oweniidae gen.sp.;0,666666667;1
Polychaeta;Polychaeta;Paradiopatra fjordica;3,333333333;1
Polychaeta;Polychaeta;Paraonidae gen.sp.;20,33333333;1
Polychaeta;Polychaeta;Paraonidae gen.sp.;10;1
Polychaeta;Polychaeta;Paraonides nordica;4,666666667;1
Polychaeta;Polychaeta;Pectinaria hyperborea;122;1
Polychaeta;Polychaeta;Pherusa plumosa;64;1
Polychaeta;Polychaeta;Pherusa sp.;4;1
Polychaeta;Polychaeta;Pholoe longa;43;1
Polychaeta;Polychaeta;Pholoe sp.;62,66666667;1
Polychaeta;Polychaeta;Phyllodoce groenlandica;447,6666667;1
Polychaeta;Polychaeta;Phyllodoce maculata;108,3333333;1
Polychaeta;Polychaeta;Phyllodoce mucoza;9;1
Polychaeta;Polychaeta;Polychaeta gen. sp. ;194;1
Polychaeta;Polychaeta;Polycirrus medusa;0,333333333;1
Polychaeta;Polychaeta;Polynoidae gen. sp. ;48;1
Polychaeta;Polychaeta;Potamethus malmgreni;147;1
Polychaeta;Polychaeta;Praxillella gracilis;637,6666667;1
Polychaeta;Polychaeta;Praxillella praetermissa;86,66666667;1
Polychaeta;Polychaeta;Praxillella sp.;1;1
Polychaeta;Polychaeta;Praxillura longissima;210,3333333;1
Polychaeta;Polychaeta;Proclea graffii;2;1
Polychaeta;Polychaeta;Pseudopotamilla neglecta;52;1
Polychaeta;Polychaeta;Rhodine gracilis;0,666666667;1
Polychaeta;Polychaeta;Sabellidae gen. sp.;8,666666667;1
Polychaeta;Polychaeta;Scalibregma inflatum;62,66666667;1
Polychaeta;Polychaeta;Scalibregma sp.;59,33333333;1
Polychaeta;Polychaeta;Scoletoma fragilis;2053,333333;1
Polychaeta;Polychaeta;Scoloplos  sp.;7,333333333;1
Polychaeta;Polychaeta;Scoloplos acutus;108,6666667;1
Polychaeta;Polychaeta;Scoloplos gr. armiger;22;1
Polychaeta;Polychaeta;Sphaerodoridae gen.sp.;1,666666667;1
Polychaeta;Polychaeta;Sphaerodoropsis minuta;0,333333333;1
Polychaeta;Polychaeta;Sphaerodoropsis sp.;0,666666667;1
Polychaeta;Polychaeta;Sphaerodorum gracilis;8,333333333;1
Polychaeta;Polychaeta;Spio armata;22,33333333;1
Polychaeta;Polychaeta;Spio limicola;28,33333333;1
Polychaeta;Polychaeta;Spio sp.;39,83333333;1
Polychaeta;Polychaeta;Spiochaetopterus typicus;8196,333333;1
Polychaeta;Polychaeta;Spionidae gen.sp.;112;1
Polychaeta;Polychaeta;Spiophanes wigleyi (ex urceolata);53,66666667;1
Polychaeta;Polychaeta;Syllinae gen.sp.;11,33333333;1
Polychaeta;Polychaeta;Syllis fasciata;0,666666667;1
Polychaeta;Polychaeta;Syllis sp.;0,666666667;1
Polychaeta;Polychaeta;Terebellidae gen.sp.;17,33333333;1
Polychaeta;Polychaeta;Terebellides sp.;160,3333333;1
Polychaeta;Polychaeta;Terebellides stroemi;6,333333333;1
Polychaeta;Polychaeta;Terebellomorpha;101,6666667;1
Polychaeta;Polychaeta;Trochochaeta carica;3,333333333;1
Other;Porifera;Porifera gen. sp.;89;1
Other;Priapulida;Priapulida gen. sp.;44,66666667;1
Other;Priapulida;Priapulus bicaudatus;707,6666667;1
Other;Priapulida;Priapulus caudatus;1,666666667;1
Other;Priapulida;Priapulus sp.;1,666666667;1
Mollusca;Scaphopoda;Scaphopoda gen.sp.;54;1
Mollusca;Scaphopoda;Siphonodentalium sp.;5;1
Polychaeta;Sipunculida;Golfingia elgeris;57,33333333;1
Polychaeta;Sipunculida;Golfingia margaritacea ;2161,666667;1
Polychaeta;Sipunculida;Golfingia vulgaris;2;1
Polychaeta;Sipunculida;Nephasoma lilljeborgi;0,666666667;1
Polychaeta;Sipunculida;Nephasoma sp.;24,33333333;1
Polychaeta;Sipunculida;Phascolion strombus;288;1
Polychaeta;Sipunculida;Phascolosoma margaritaceum;984,6666667;1
Polychaeta;Sipunculida;Phascolosoma sp.;108;1
Polychaeta;Sipunculida;Sipuncula gen.sp.;144,6666667;1
